Date,Open,High,Low,Close,Adj Close,Volume
4/17/2023,10.34,10.39,10.14,10.34,10.34,4480400
4/24/2023,10.32,10.61,10.32,10.56,10.56,4547400
5/1/2023,10.43,10.6,10.25,10.56,10.56,5107200
5/8/2023,10.63,10.85,10.21,10.68,10.68,13253700
5/15/2023,10.71,11,10.64,10.84,10.84,14885200
5/22/2023,10.93,10.97,10.5,10.68,10.68,4692600
5/29/2023,10.68,10.93,10.47,10.84,10.84,5031200
6/5/2023,10.87,11.04,10.65,10.95,10.95,4625800
6/12/2023,10.95,11.99,10.9,10.97,10.97,4808000
6/19/2023,10.97,11.13,10.71,10.74,10.74,3456100
6/26/2023,10.91,11.44,10.87,11.38,11.38,7245300
7/3/2023,11.3,11.38,10.91,11.13,11.13,2227700
7/10/2023,11.15,11.65,11.04,11.38,11.38,5837300
7/17/2023,11.38,11.55,11.26,11.38,11.38,4931900
7/24/2023,11.47,11.51,11.03,11.3,11.3,4246100
7/31/2023,11.35,11.51,10.76,10.77,10.77,7315200
8/7/2023,10.9,10.92,10.57,10.7,10.7,6338700
8/14/2023,10.69,10.88,10.41,10.47,10.47,3317900
8/21/2023,10.43,10.64,10.3,10.4,10.4,2304500
8/28/2023,10.55,10.84,10.45,10.68,10.68,2521100
9/4/2023,10.68,10.84,10.57,10.8,10.8,4527900
9/11/2023,10.88,10.94,10.57,10.62,10.62,4251600
9/18/2023,10.5,10.93,10.31,10.37,10.37,5726900
9/25/2023,10.32,10.48,10.2,10.35,10.35,4009800
10/2/2023,10.2,10.5,10.09,10.47,10.47,3814300
10/9/2023,10.38,10.64,10.2,10.22,10.22,2565900
10/16/2023,10.26,10.37,10.03,10.07,10.07,4054200
10/23/2023,10.05,10.32,10.03,10.23,10.23,3394200
10/30/2023,10.24,10.8,10.15,10.8,10.8,4417100
11/6/2023,10.63,11.87,10.56,11.4,11.4,6794900
11/13/2023,11.51,11.8,11.51,11.53,11.53,8053500
11/20/2023,11.47,11.72,11.35,11.48,11.48,2956400
11/27/2023,11.51,11.78,11.46,11.73,11.73,2974700
12/4/2023,11.58,11.8,11.49,11.79,11.79,3774600
12/11/2023,11.75,12.08,11.75,11.79,11.79,3304800
12/18/2023,11.97,12.25,11.8,12.17,12.17,3286200
12/25/2023,12.17,12.99,12.17,12.99,12.99,2281000
1/1/2024,12.97,12.97,12.35,12.49,12.49,1997700
1/8/2024,12.55,14.02,12.45,13.93,13.93,4234000
1/15/2024,13.78,13.83,13.27,13.74,13.74,3044100
1/22/2024,13.63,13.69,13.3,13.4,13.4,3111900
1/29/2024,13.62,14.29,13.6,14.29,14.29,4699300
2/5/2024,14.16,14.65,13.92,14.58,14.58,7593600
2/12/2024,14.6,15.01,14.25,14.3,14.3,9817100
2/19/2024,13.71,14.08,13.52,13.96,13.96,3967100
2/26/2024,14.32,14.45,13.73,14.04,14.04,5165500
3/4/2024,13.83,14.06,13.75,13.77,13.77,3181700
3/11/2024,13.89,14.04,13.7,13.77,13.77,1901100
3/18/2024,13.77,13.95,13.72,13.84,13.84,2715500
3/25/2024,13.68,13.9,13.5,13.59,13.59,1788100
4/1/2024,13.5,13.55,12.72,12.77,12.77,3399700
4/8/2024,12.9,13.02,12.41,12.41,12.41,2488200
4/15/2024,12.41,12.45,12.03,12.22,12.22,2260000
4/18/2024,12.19,12.27,12.12,12.12,12.12,672631
